Date,Australian dollar (AUD),Botswana pula (BWP),Brazilian real (BRL),Brunei dollar (BND),Canadian dollar (CAD),Chilean peso (CLP),Chinese yuan (CNY),Colombian peso (COP),Danish krone (DKK),Euro (EUR),Indian rupee (INR),Japanese yen (JPY),Korean won (KRW),Kuwaiti dinar (KWD),Malaysian ringgit (MYR),New Zealand dollar (NZD),Norwegian krone (NOK),Omani rial (OMR),Polish zloty (PLN),Qatari riyal (QAR),Saudi Arabian riyal (SAR),Singapore dollar (SGD),South African rand (ZAR),Swedish krona (SEK),Swiss franc (CHF),Thai baht (THB),Trinidadian dollar (TTD),U.A.E. dirham (AED),U.K. pound (GBP),U.S. dollar (USD)
3-Jan-1994,0.6873,4.73821,326.095,1.736,1.3174,417.73,8.7,917.83,6.7745,1.18398,31.37,113.1,807.2,0.29852,2.6871,0.5607,7.5135,0.3845,21692.0,3.64,3.745,1.6083,3.4,8.363,1.479,25.58,5.834,3.6710000000000003,1.482,1.0
4-Jan-1994,0.6873,4.73821,331.21,1.736,1.3174,417.73,8.7,910.26,6.8020000000000005,1.18398,31.37,113.1,808.1,0.29869,2.6365,0.5607,7.539,0.3845,21692.0,3.64,3.745,1.6128,3.4,8.3685,1.4869999999999999,25.58,5.82041,3.6710000000000003,1.482,1.0
5-Jan-1994,0.687,4.73821,336.47,1.736,1.318,417.73,8.7,918.68,6.7625,1.18398,31.37,113.2,809.0,0.29869,2.6210000000000004,0.5607,7.5015,0.3845,21692.0,3.64,3.745,1.6063,3.4,8.2435,1.479,25.56,5.82987,3.6710000000000003,1.4862,1.0
6-Jan-1994,0.6857,4.73821,341.81,1.736,1.3211,417.73,8.7,919.18,6.763999999999999,1.18398,31.37,112.8,811.3,0.29869,2.627,0.5587,7.4995,0.3845,21692.0,3.64,3.745,1.5959,3.4,8.22625,1.475,25.57,5.820180000000001,3.6710000000000003,1.4843,1.0
7-Jan-1994,0.6853,4.73821,347.225,1.736,1.3234,417.73,8.7,919.63,6.77,1.18398,31.37,112.55,813.0,0.29839499999999997,2.6243,0.557,7.504,0.3845,21692.0,3.64,3.745,1.5968,3.4,8.209,1.4805,25.55,5.8060599999999996,3.6710000000000003,1.4836,1.0
10-Jan-1994,0.6849,4.73821,352.725,1.736,1.3173,417.73,8.7,919.8199999999999,6.7295,1.18398,31.37,111.75,813.4,0.2981,2.6439999999999997,0.5584,7.4735,0.3845,21692.0,3.64,3.745,1.5963,3.4,8.20425,1.4669999999999999,25.51,5.801830000000001,3.6710000000000003,1.4925,1.0
11-Jan-1994,0.6904,4.73821,358.3,1.736,1.3217,417.73,8.7,920.01,6.75,1.18398,31.37,112.4,812.0,0.29823,2.6895,0.5597,7.5175,0.3845,21692.0,3.64,3.745,1.5995,3.4,8.1995,1.4755,25.54,5.79277,3.6710000000000003,1.4895,1.0
12-Jan-1994,0.6894,4.73821,363.97,1.736,1.3207,417.73,8.7,920.47,6.742999999999999,1.18398,31.37,112.2,811.7,0.29823,2.7225,0.5593,7.5055,0.3845,21692.0,3.64,3.745,1.6045,3.4,8.18735,1.4685,25.55,5.79812,3.6710000000000003,1.4969999999999999,1.0
13-Jan-1994,0.6905,4.73821,369.73,1.736,1.3211,417.73,8.7,920.91,6.7345,1.18398,31.37,112.3,811.3,0.29823,2.7230000000000003,0.5583,7.507000000000001,0.3845,21692.0,3.64,3.745,1.6027,3.4,8.1752,1.462,25.55,5.79484,3.6710000000000003,1.4987,1.0
14-Jan-1994,0.6892,4.73821,381.525,1.736,1.3205,417.73,8.7,921.38,6.778,1.18398,31.37,111.7,811.0,0.29817,2.7260000000000004,0.5579999999999999,7.5445,0.3845,21692.0,3.64,3.745,1.6066,3.41,8.1715,1.4822,25.55,5.79891,3.6710000000000003,1.492,1.0
